^SPX (Standard & Poors 500 Index),3009.05,-74.71
Jun 27 2020 @ 05:39 ET,Bid,2977.94,Ask,3245.56,Size,1x1,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
06/26/2020,SPXW200626C02100000,1018.2,0,876.9,924.9,0,22.757,0.9652,0.0001,2,2100.000,SPXW200626P02100000,0.1,0,0,0.05,0,11.501,-0.0003,0,486
06/26/2020,SPXW200626C02125000,0,0,860.9,908.9,0,22.4605,0.9624,0.0001,0,2125.000,SPXW200626P02125000,0.05,0,0,0.05,0,11.1566,-0.0003,0,2430
06/26/2020,SPXW200626C02150000,0,0,825.4,873.4,0,21.8058,0.9615,0.0001,0,2150.000,SPXW200626P02150000,0.1,0,0,0.05,0,10.8013,-0.0003,0,3721
06/26/2020,SPXW200626C02175000,0,0,810.9,858.9,0,21.1786,0.9604,0.0001,0,2175.000,SPXW200626P02175000,0.1,0,0,0.05,0,10.5051,-0.0003,0,293
06/26/2020,SPXW200626C02200000,0,0,776.9,824.9,0,20.5777,0.9592,0.0002,0,2200.000,SPXW200626P02200000,0.05,0,0,0.05,0,10.0375,-0.0003,0,9288
06/26/2020,SPXW200626C02225000,801.4,0,751.9,799.9,0,19.5484,0.9608,0.0002,1,2225.000,SPXW200626P02225000,0.05,0,0,0.05,0,9.751,-0.0003,0,831
06/26/2020,SPXW200626C02250000,792.9,0,735.9,783.9,0,18.9876,0.9594,0.0002,1,2250.000,SPXW200626P02250000,0.05,0,0,0.05,0,9.4377,-0.0004,0,8508
06/26/2020,SPXW200626C02275000,640.5,0,710.9,758.9,0,18.741,0.9555,0.0002,1,2275.000,SPXW200626P02275000,0.05,0,0,0.05,0,9.0194,-0.0003,0,1056
06/26/2020,SPXW200626C02300000,490.42,0,676.9,724.9,0,18.1373,0.9541,0.0002,1,2300.000,SPXW200626P02300000,0.05,0,0,0.05,0,8.7595,-0.0004,0,619
06/26/2020,SPXW200626C02325000,0,0,650.4,698.4,0,17.1636,0.9559,0.0002,0,2325.000,SPXW200626P02325000,0.05,0,0,0.05,0,8.411,-0.0004,0,311
06/26/2020,SPXW200626C02350000,610.18,0,626.9,674.9,0,16.9263,0.9514,0.0002,1,2350.000,SPXW200626P02350000,0.05,0,0,0.05,0,8.0984,-0.0004,0,2783
06/26/2020,SPXW200626C02375000,587.96,0,602,650,0,15.9966,0.953,0.0002,1,2375.000,SPXW200626P02375000,0.05,0,0,0.05,0,7.751,-0.0004,0,1871
06/26/2020,SPXW200626C02400000,713.3,0,586,634,0,15.4173,0.9514,0.0002,1,2400.000,SPXW200626P02400000,0.05,0,0,0.05,0,7.3978,-0.0004,0,827
06/26/2020,SPXW200626C02410000,0,0,567,615,0,15.1875,0.9507,0.0002,0,2410.000,SPXW200626P02410000,0.05,0,0,0.05,0,7.3218,-0.0005,0,102
06/26/2020,SPXW200626C02420000,0,0,566,614,0,14.9577,0.95,0.0002,0,2420.000,SPXW200626P02420000,0.05,0,0,0.05,0,7.1674,-0.0004,0,953
06/26/2020,SPXW200626C02425000,0,0,561,609,0,14.8083,0.95,0.0003,0,2425.000,SPXW200626P02425000,0.05,0,0,0.05,0,7.1328,-0.0005,0,1840
06/26/2020,SPXW200626C02430000,679,0,556,604,0,14.7626,0.9489,0.0003,1,2430.000,SPXW200626P02430000,0.4,0,0,0.05,0,7.0687,-0.0005,0,193
06/26/2020,SPXW200626C02440000,0,0,537,585,0,14.4999,0.9486,0.0003,0,2440.000,SPXW200626P02440000,0.05,0,0,0.05,0,6.9597,-0.0005,0,559
06/26/2020,SPXW200626C02450000,511.31,0,536,584,0,14.5983,0.9442,0.0003,1,2450.000,SPXW200626P02450000,0.05,0,0,0.05,0,6.8364,-0.0005,0,587
06/26/2020,SPXW200626C02460000,0,0,515.5,563.5,0,14.0759,0.9467,0.0003,0,2460.000,SPXW200626P02460000,0.05,0,0,0.05,0,6.6396,-0.0005,0,101
06/26/2020,SPXW200626C02470000,536.9,-70.55,516,564,1,13.8479,0.9459,0.0003,1,2470.000,SPXW200626P02470000,0.1,0,0,0.05,0,6.5715,-0.0005,0,417
06/26/2020,SPXW200626C02475000,532.01,-70.44,502,550,1,13.7338,0.9455,0.0003,2,2475.000,SPXW200626P02475000,0.05,0,0,0.05,0,6.507,-0.0005,0,4211
06/26/2020,SPXW200626C02480000,0,0,506,554,0,13.6368,0.9449,0.0003,0,2480.000,SPXW200626P02480000,0.55,0,0,0.05,0,6.4424,-0.0005,0,160
06/26/2020,SPXW200626C02490000,0,0,487,535,0,13.3928,0.9443,0.0003,0,2490.000,SPXW200626P02490000,0.1,0,0,0.05,0,6.306,-0.0005,0,595
06/26/2020,SPXW200626C02500000,523,-54.45,486,534,10,13.1659,0.9434,0.0003,3,2500.000,SPXW200626P02500000,0.05,0,0,0.05,0,6.2119,-0.0006,0,3313
06/26/2020,SPXW200626C02510000,622.3,0,476,524,0,13.2134,0.939,0.0003,2,2510.000,SPXW200626P02510000,0.05,0,0,0.05,0,6.0668,-0.0006,0,1328
06/26/2020,SPXW200626C02520000,588.9,0,457,505,0,12.6977,0.9418,0.0003,2,2520.000,SPXW200626P02520000,0.05,0,0,0.05,0,5.9385,-0.0006,0,155
06/26/2020,SPXW200626C02525000,0,0,461,509,0,12.8545,0.9377,0.0003,0,2525.000,SPXW200626P02525000,0.05,0,0,0.05,0,5.876,-0.0006,0,3350
06/26/2020,SPXW200626C02530000,0,0,456,504,0,12.7253,0.9374,0.0003,0,2530.000,SPXW200626P02530000,0.1,0,0,0.05,0,5.8227,-0.0006,0,5153
06/26/2020,SPXW200626C02540000,0,0,446,494,0,12.482,0.9366,0.0004,0,2540.000,SPXW200626P02540000,0.05,0.025,0,0.05,1,5.6885,-0.0006,0,614
06/26/2020,SPXW200626C02550000,481.41,-46.04,425.5,473.5,1,12.2544,0.9356,0.0004,10,2550.000,SPXW200626P02550000,0.05,0,0,0.05,0,5.5558,-0.0006,0,2451
06/26/2020,SPXW200626C02555000,0,0,422,470,0,12.1826,0.9344,0.0004,0,2555.000,SPXW200626P02555000,0.1,0,0,0.05,0,5.4948,-0.0006,0,124
06/26/2020,SPXW200626C02560000,641.32,0,426,474,0,12.0403,0.9343,0.0004,0,2560.000,SPXW200626P02560000,0.05,0,0,0.05,0,5.436,-0.0006,0,5917
06/26/2020,SPXW200626C02565000,0,0,412,460,0,11.9403,0.9335,0.0004,0,2565.000,SPXW200626P02565000,0.05,0,0,0.05,0,5.3786,-0.0006,0,239
06/26/2020,SPXW200626C02570000,0,0,416,464,0,11.8263,0.9329,0.0004,0,2570.000,SPXW200626P02570000,0.05,0.025,0,0.05,2,5.3218,-0.0006,0,619
06/26/2020,SPXW200626C02575000,0,0,411,459,0,11.6985,0.9326,0.0004,0,2575.000,SPXW200626P02575000,0.05,0.025,0,0.05,1,5.2644,-0.0006,0,5474
06/26/2020,SPXW200626C02580000,427.27,-70.18,395.5,443.5,1,11.6261,0.9313,0.0004,2,2580.000,SPXW200626P02580000,0.05,0.025,0,0.05,2,5.1938,-0.0006,0,173
06/26/2020,SPXW200626C02585000,0,0,401,449,0,11.4709,0.9314,0.0004,0,2585.000,SPXW200626P02585000,0.1,0,0,0.05,0,5.1719,-0.0007,0,478
06/26/2020,SPXW200626C02590000,517.7,0,390,438,0,11.3841,0.9304,0.0004,1,2590.000,SPXW200626P02590000,0.05,0,0,0.05,0,5.0465,-0.0006,0,762
06/26/2020,SPXW200626C02595000,373.5,0,380.5,428.5,0,11.2568,0.93,0.0004,1,2595.000,SPXW200626P02595000,0.06,0,0,0.05,0,5.0273,-0.0007,0,663
06/26/2020,SPXW200626C02600000,474.8,0,377,425,0,11.143,0.9293,0.0004,10,2600.000,SPXW200626P02600000,0.05,0.025,0,0.05,4,4.9682,-0.0007,0,8618
06/26/2020,SPXW200626C02605000,403.33,-69.12,381,429,1,11.0161,0.9289,0.0004,2,2605.000,SPXW200626P02605000,0.1,0,0,0.05,0,4.8831,-0.0006,0,267
06/26/2020,SPXW200626C02610000,0,0,376,424,0,10.9025,0.9283,0.0005,0,2610.000,SPXW200626P02610000,0.1,0,0,0.05,0,4.8679,-0.0007,0,635
06/26/2020,SPXW200626C02615000,390.36,-72.09,360.5,408.5,1,10.8019,0.9274,0.0005,2,2615.000,SPXW200626P02615000,0.1,0,0,0.05,0,4.7695,-0.0007,0,81
06/26/2020,SPXW200626C02620000,309.87,0,357,405,0,10.7011,0.9265,0.0005,1,2620.000,SPXW200626P02620000,0.05,0,0,0.05,0,4.7155,-0.0007,0,226
06/26/2020,SPXW200626C02625000,416.01,-36.44,361,409,4,10.5744,0.926,0.0005,4,2625.000,SPXW200626P02625000,0.1,0,0,0.05,0,4.6892,-0.0008,0,1296
06/26/2020,SPXW200626C02630000,390.1,0,350,398,0,10.4607,0.9253,0.0005,1,2630.000,SPXW200626P02630000,0.1,0,0,0.05,0,4.5849,-0.0007,0,473
06/26/2020,SPXW200626C02635000,0,0,342,390,0,10.1281,0.9286,0.0005,0,2635.000,SPXW200626P02635000,0.05,0,0,0.05,0,4.5685,-0.0008,0,485
06/26/2020,SPXW200626C02640000,479.3,0,346,394,0,10.2463,0.9236,0.0005,10,2640.000,SPXW200626P02640000,0.1,0,0,0.05,0,4.4678,-0.0007,0,115
06/26/2020,SPXW200626C02645000,402.9,0,341,389,0,10.2432,0.9208,0.0005,14,2645.000,SPXW200626P02645000,0.15,0,0,0.05,0,4.4295,-0.0008,0,122
06/26/2020,SPXW200626C02650000,373.79,-53.66,325.5,373.5,11,10.0063,0.9224,0.0005,13,2650.000,SPXW200626P02650000,0.05,0.025,0,0.05,3,4.3689,-0.0008,0,1625
06/26/2020,SPXW200626C02655000,361.4,0,322,370,0,10.0138,0.9192,0.0005,1,2655.000,SPXW200626P02655000,0.05,0.025,0,0.05,30,4.3065,-0.0008,0,773
06/26/2020,SPXW200626C02660000,0,0,326,374,0,9.779,0.9208,0.0005,0,2660.000,SPXW200626P02660000,0.05,0.025,0,0.05,188,4.2443,-0.0008,0,1093
06/26/2020,SPXW200626C02665000,340.4,-72.05,312,360,1,9.5681,0.9219,0.0005,1,2665.000,SPXW200626P02665000,0.1,0,0,0.05,0,4.173,-0.0008,0,371
06/26/2020,SPXW200626C02670000,381.5,0,316,364,0,9.5518,0.9191,0.0006,3,2670.000,SPXW200626P02670000,0.05,0,0,0.05,0,4.139,-0.0008,0,683
06/26/2020,SPXW200626C02675000,344.2,0,302,350,0,9.4378,0.9183,0.0006,1,2675.000,SPXW200626P02675000,0.05,0,0,0.05,0,4.067,-0.0008,0,3572
06/26/2020,SPXW200626C02680000,0,0,297,345,0,9.324,0.9174,0.0006,0,2680.000,SPXW200626P02680000,0.05,0,0,0.05,0,4.001,-0.0008,0,559
06/26/2020,SPXW200626C02685000,379.39,-13.06,290.5,338.5,10,9.2102,0.9166,0.0006,10,2685.000,SPXW200626P02685000,0.05,0,0,0.05,1,3.9385,-0.0008,0,210
06/26/2020,SPXW200626C02690000,359.7,0,287,335,0,9.0963,0.9157,0.0006,4,2690.000,SPXW200626P02690000,0.05,0,0,0.05,30,3.876,-0.0008,0,714
06/26/2020,SPXW200626C02695000,0,0,282,330,0,9.0282,0.9137,0.0006,0,2695.000,SPXW200626P02695000,0.05,0,0,0.05,0,3.8383,-0.0009,0,2074
06/26/2020,SPXW200626C02700000,295.22,0,286,334,0,8.8684,0.9138,0.0006,3,2700.000,SPXW200626P02700000,0.05,0,0,0.05,139,3.7465,-0.0008,0,7873
06/26/2020,SPXW200626C02705000,360.8,0,270.5,318.5,0,8.7544,0.9128,0.0007,0,2705.000,SPXW200626P02705000,0.05,0,0,0.05,0,3.7074,-0.0009,0,711
06/26/2020,SPXW200626C02710000,0,0,267,315,0,8.6403,0.9118,0.0007,0,2710.000,SPXW200626P02710000,0.05,0,0,0.05,12,3.6342,-0.0009,0,1275
06/26/2020,SPXW200626C02715000,0,0,260.5,308.5,0,8.4589,0.9124,0.0007,0,2715.000,SPXW200626P02715000,0.05,0,0,0.05,0,3.5597,-0.0008,0,281
06/26/2020,SPXW200626C02720000,169.6,0,255.5,303.5,0,8.4118,0.9098,0.0007,15,2720.000,SPXW200626P02720000,0.05,0,0,0.05,0,3.5316,-0.0009,0,662
06/26/2020,SPXW200626C02725000,295.24,-57.21,261,309,13,8.1759,0.9117,0.0007,13,2725.000,SPXW200626P02725000,0.05,0,0,0.05,0,3.4776,-0.001,0,3952
06/26/2020,SPXW200626C02730000,282.7,0,245.5,293.5,0,8.0957,0.9098,0.0007,1,2730.000,SPXW200626P02730000,0.05,0,0,0.05,0,3.386,-0.0009,0,708
06/26/2020,SPXW200626C02735000,278.9,-63.55,242,290,1,7.9819,0.9087,0.0007,4,2735.000,SPXW200626P02735000,0.05,0,0,0.05,0,3.3662,-0.001,0,1084
06/26/2020,SPXW200626C02740000,380.05,0,246,294,0,8.0594,0.9026,0.0008,8,2740.000,SPXW200626P02740000,0.05,0,0,0.05,135,3.2948,-0.001,0,580
06/26/2020,SPXW200626C02745000,348.13,0,232,280,0,7.9437,0.9014,0.0008,33,2745.000,SPXW200626P02745000,0.05,0,0,0.05,125,3.2245,-0.001,0,287
06/26/2020,SPXW200626C02750000,276.15,-51.3,225.5,273.5,1,7.7241,0.9029,0.0008,4,2750.000,SPXW200626P02750000,0.05,0,0,0.05,164,3.1533,-0.0009,0,2886
06/26/2020,SPXW200626C02755000,152.9,0,222,270,0,7.7116,0.8988,0.0008,9,2755.000,SPXW200626P02755000,0.05,0,0,0.05,17,3.1125,-0.001,0,889
06/26/2020,SPXW200626C02760000,321.96,0,226,274,0,7.4943,0.9004,0.0008,36,2760.000,SPXW200626P02760000,0.05,0,0,0.05,4,3.0729,-0.0011,0,353
06/26/2020,SPXW200626C02765000,288,0,212,260,0,7.4696,0.8965,0.0009,4,2765.000,SPXW200626P02765000,0.05,0,0,0.05,0,3.0012,-0.0011,0,182
06/26/2020,SPXW200626C02770000,436.35,0,216,264,0,7.2736,0.8974,0.0009,13,2770.000,SPXW200626P02770000,0.07,0,0,0.05,0,2.9366,-0.0011,0,555
06/26/2020,SPXW200626C02775000,339.28,0,211,259,0,6.9754,0.9015,0.0009,13,2775.000,SPXW200626P02775000,0.1,0,0,0.05,0,2.9002,-0.0012,0,1394
06/26/2020,SPXW200626C02780000,337.36,0,200.1,248.1,0,6.9021,0.8989,0.0009,3,2780.000,SPXW200626P02780000,0.07,0,0,0.05,0,2.8019,-0.0011,0,1527
06/26/2020,SPXW200626C02785000,266.65,0,200.1,248.1,0,6.7469,0.8987,0.0009,2,2785.000,SPXW200626P02785000,0.5,0,0,0.05,0,2.7638,-0.0012,0,302
06/26/2020,SPXW200626C02790000,235.4,-52.05,200.1,248.1,2,6.6722,0.8959,0.001,7,2790.000,SPXW200626P02790000,0.05,-0.025,0,0.05,10,2.7072,-0.0012,0.0001,786
06/26/2020,SPXW200626C02795000,284.8,0,199,231,0,6.6065,0.8928,0.001,4,2795.000,SPXW200626P02795000,0.07,-0.005,0,0.05,15,2.6631,-0.0013,0.0001,2583
06/26/2020,SPXW200626C02800000,213.4,-64.05,199,231,6,6.4423,0.8928,0.001,122,2800.000,SPXW200626P02800000,0.05,-0.025,0,0.05,101,2.5817,-0.0012,0.0001,8775
06/26/2020,SPXW200626C02805000,229.82,-42.68,183,215,1,6.346,0.8905,0.0011,3,2805.000,SPXW200626P02805000,0.05,0,0,0.05,35,2.5317,-0.0013,0.0001,288
06/26/2020,SPXW200626C02810000,256.01,-11.64,184,216,2,6.1827,0.8904,0.0011,57,2810.000,SPXW200626P02810000,0.05,-0.025,0,0.05,29,2.4662,-0.0013,0.0001,600
06/26/2020,SPXW200626C02815000,262.2,0,173,205,0,6.2792,0.8811,0.0011,4,2815.000,SPXW200626P02815000,0.05,0,0,0.05,2,2.4007,-0.0013,0.0001,536
06/26/2020,SPXW200626C02820000,230.08,0,168,200,0,6.1072,0.8811,0.0012,63,2820.000,SPXW200626P02820000,0.05,-0.05,0,0.05,123,2.357,-0.0014,0.0001,1425
06/26/2020,SPXW200626C02825000,275.06,0,162,194,0,5.989,0.8791,0.0012,17,2825.000,SPXW200626P02825000,0.05,-0.05,0,0.05,211,2.285,-0.0013,0.0001,3220
06/26/2020,SPXW200626C02830000,206.01,-41.54,164,196,6,5.8443,0.8781,0.0012,15,2830.000,SPXW200626P02830000,0.05,-0.05,0,0.05,173,2.251,-0.0015,0.0001,4633
06/26/2020,SPXW200626C02835000,212.11,0,159,191,0,5.7433,0.8753,0.0013,12,2835.000,SPXW200626P02835000,0.05,-0.025,0,0.05,89,2.1819,-0.0015,0.0001,349
06/26/2020,SPXW200626C02840000,265.73,0,154,186,0,5.6329,0.8728,0.0013,164,2840.000,SPXW200626P02840000,0.05,-0.025,0,0.05,51,2.126,-0.0015,0.0001,985
06/26/2020,SPXW200626C02845000,202.21,0,143,175,0,5.505,0.8709,0.0014,26,2845.000,SPXW200626P02845000,0.05,-0.05,0,0.05,133,2.0635,-0.0016,0.0001,544
06/26/2020,SPXW200626C02850000,166.03,-61.57,144,176,38,5.3853,0.8685,0.0014,115,2850.000,SPXW200626P02850000,0.05,-0.05,0,0.05,409,2.001,-0.0016,0.0001,7859
06/26/2020,SPXW200626C02855000,187.57,-34.98,139,171,2,5.2651,0.866,0.0015,10,2855.000,SPXW200626P02855000,0.05,-0.05,0,0.05,38,1.9385,-0.0016,0.0001,357
06/26/2020,SPXW200626C02860000,166.18,-51.52,134,166,6,5.1445,0.8634,0.0015,108,2860.000,SPXW200626P02860000,0.06,-0.04,0,0.05,116,1.876,-0.0016,0.0001,969
06/26/2020,SPXW200626C02865000,162.8,-49.75,122,154,1,5.0878,0.8578,0.0016,16,2865.000,SPXW200626P02865000,0.05,-0.05,0,0.05,81,1.8106,-0.0016,0.0001,392
06/26/2020,SPXW200626C02870000,196.27,0,124,156,0,4.9811,0.8542,0.0016,58,2870.000,SPXW200626P02870000,0.05,-0.1,0,0.05,81,1.7778,-0.0019,0.0001,9876
06/26/2020,SPXW200626C02875000,169.42,0,113,145,0,4.7798,0.8549,0.0017,349,2875.000,SPXW200626P02875000,0.05,-0.1,0,0.05,635,1.7051,-0.0018,0.0001,3596
06/26/2020,SPXW200626C02880000,126.8,-70.95,114,146,1,4.6571,0.8518,0.0018,29,2880.000,SPXW200626P02880000,0.05,-0.125,0,0.05,93,1.647,-0.0019,0.0001,1099
06/26/2020,SPXW200626C02885000,245.5,0,109,141,0,4.6094,0.8446,0.0019,22,2885.000,SPXW200626P02885000,0.05,-0.1,0,0.05,67,1.588,-0.0019,0.0001,443
06/26/2020,SPXW200626C02890000,145.42,0,104,136,0,4.4772,0.8415,0.0019,40,2890.000,SPXW200626P02890000,0.05,-0.15,0,0.05,136,1.5341,-0.0021,0.0002,3521
06/26/2020,SPXW200626C02895000,138.62,-44.03,100.1,132.1,5,4.337,0.8386,0.002,98,2895.000,SPXW200626P02895000,0.05,-0.15,0,0.05,221,1.4611,-0.002,0.0002,844
06/26/2020,SPXW200626C02900000,105.5,-72.25,98.5,118.5,9,4.1674,0.837,0.0021,127,2900.000,SPXW200626P02900000,0.05,-0.175,0,0.05,3644,1.4106,-0.0022,0.0002,8900
06/26/2020,SPXW200626C02905000,131.89,-40.76,98.1,118.1,1,4.1051,0.8293,0.0022,24,2905.000,SPXW200626P02905000,0.05,-0.2,0,0.05,767,1.3466,-0.0022,0.0002,1487
06/26/2020,SPXW200626C02910000,100.23,-67.67,90.2,110.2,21,3.9068,0.829,0.0023,46,2910.000,SPXW200626P02910000,0.05,-0.225,0,0.05,401,1.3006,-0.0025,0.0002,5330
06/26/2020,SPXW200626C02915000,99,-63.8,85.2,105.2,1,3.8412,0.8206,0.0024,30,2915.000,SPXW200626P02915000,0.05,-0.25,0,0.05,491,1.2312,-0.0025,0.0002,1349
06/26/2020,SPXW200626C02920000,93.3,-64.55,80.2,100.2,20,3.6499,0.8194,0.0026,33,2920.000,SPXW200626P02920000,0.05,-0.3,0,0.05,2486,1.1628,-0.0024,0.0002,2172
06/26/2020,SPXW200626C02925000,158.01,0,75.2,95.2,0,3.5332,0.8132,0.0027,333,2925.000,SPXW200626P02925000,0.05,-0.325,0,0.05,2615,1.1104,-0.0027,0.0003,3740
06/26/2020,SPXW200626C02930000,83.33,-64.67,70.2,90.2,40,3.3821,0.8088,0.0029,850,2930.000,SPXW200626P02930000,0.05,-0.35,0,0.05,1924,1.0479,-0.0028,0.0003,7348
06/26/2020,SPXW200626C02935000,103.7,0,65.2,85.2,0,3.2497,0.8027,0.0031,27,2935.000,SPXW200626P02935000,0.05,-0.4,0,0.05,624,0.9854,-0.0029,0.0003,1097
06/26/2020,SPXW200626C02940000,73.46,-64.59,60.2,80.2,21,3.1664,0.7924,0.0032,48,2940.000,SPXW200626P02940000,0.05,-0.45,0,0.05,3287,0.9383,-0.0034,0.0004,1181
06/26/2020,SPXW200626C02945000,69.54,-63.46,55.2,75.2,1,2.9806,0.7887,0.0035,63,2945.000,SPXW200626P02945000,0.05,-0.525,0.05,0.1,3766,0.876,-0.0036,0.0004,866
06/26/2020,SPXW200626C02950000,59.16,-68.84,49.8,69.8,52,2.8859,0.7776,0.0037,914,2950.000,SPXW200626P02950000,0.05,-0.6,0,0.05,9722,0.8135,-0.0038,0.0005,10400
06/26/2020,SPXW200626C02955000,55.37,-67.78,45.5,65.5,25,2.746,0.7688,0.004,37,2955.000,SPXW200626P02955000,0.05,-0.675,0,0.05,4348,0.751,-0.0041,0.0006,1240
06/26/2020,SPXW200626C02960000,57.79,-60.36,40.5,60.5,17,2.5577,0.7629,0.0043,44,2960.000,SPXW200626P02960000,0.05,-0.8,0,0.05,6936,0.6885,-0.0044,0.0007,1167
06/26/2020,SPXW200626C02965000,50.4,-62.85,35.2,55.2,44,2.4313,0.7507,0.0047,51,2965.000,SPXW200626P02965000,0.05,-0.9,0,0.05,6070,0.626,-0.0048,0.0008,1311
06/26/2020,SPXW200626C02970000,42.86,-65.69,30.2,50.2,71,2.3177,0.7357,0.0051,71,2970.000,SPXW200626P02970000,0.05,-1.025,0,0.05,10555,0.5645,-0.0054,0.001,3777
06/26/2020,SPXW200626C02975000,44.49,-59.26,25.5,45.5,146,2.1134,0.7268,0.0057,226,2975.000,SPXW200626P02975000,0.05,-1.2,0,0.05,13924,0.4949,-0.0056,0.0012,3151
